id;temp;type
268;84.75;mf
74;87.09;mf
256;86.47;mf
55;83.92;mf
309;76.4;mf
682;77.82;mf
712;81.81;mf
338;84.12;mf
960;81.62;mf
699;79.17;mf
106;81.53;mf
675;83.88;mf
87;79.48;mf
455;85.55;mf
200;78.65;mf
1158;83.62;mf
512;84.4;mf
1052;78.71;mf
566;76.94;mf
171;81.34;mf
90;81.5;mf
403;83.33;mf
332;86.14;mf
29;84.25;mf
13;87.07;mf
1065;84.38;mf
231;87.83;mf
940;90.32;mf
509;88.43;mf
54;85.84;mf
915;82.33;mf
846;81.94;mf
148;84.31;mf
1164;89.54;mf
174;88.69;mf
285;81.22;mf
393;81.07;mf
447;80.19;mf
491;82.94;mf
1061;84.3;mf
864;76.11;mf
72;75.64;mf
739;80.18;mf
375;81.6;mf
280;79.97;mf
690;74.91;mf
228;72.3;mf
198;76.47;mf
319;78.79;mf
1146;81.53;mf
470;86.83;mf
344;88.15;mf
1134;89.59;mf
1171;88.06;mf
501;79.2;mf
853;79.02;mf
624;88.57;mf
635;89.04;mf
702;88.47;mf
1121;87.33;mf
299;80.16;mf
361;72.06;mf
831;70.83;mf
474;70.08;mf
555;75.77;mf
949;79.95;mf
1004;79.85;mf
204;73.48;mf
425;72.77;mf
40;74.93;mf
686;78.04;mf
685;77.87;mf
1025;78.45;mf
883;75.41;mf
869;82.01;mf
1114;76.47;mf
297;77.88;mf
485;75.99;mf
1049;74;mf
789;75.21;mf
638;78.34;mf
31;78.94;mf
852;79.21;mf
298;71.64;mf
862;79.78;mf
732;78.47;mf
58;76.64;mf
867;78.98;mf
207;82.18;mf
443;78.96;mf
429;83.44;mf
1086;87.03;mf
747;77.49;mf
363;75.21;mf
242;77.72;mf
23;77.66;mf
1047;84.35;mf
1002;82.15;mf
139;79.47;mf
241;72.28;mf
798;76.35;mf
420;74.3;mf
849;77.15;mf
627;75.17;mf
893;75.95;mf
859;72.43;mf
769;70.94;mf
213;76.33;mf
69;71.63;mf
397;65.11;mf
254;58.1;mf
596;54.4;mf
598;57.48;mf
1143;62.75;mf
839;66.21;mf
98;64.66;mf
232;63.99;mf
1082;63.62;mf
315;59.44;mf
651;64.87;mf
434;67.02;mf
417;61.24;mf
186;53.76;mf
250;88;dsk
599;89;dsk
607;83;dsk
1106;81;dsk
898;76;dsk
524;72;dsk
295;70;dsk
164;84;dsk
32;86;dsk
93;86;dsk
644;86;dsk
1040;83;dsk
249;72;dsk
413;74;dsk
1021;81;dsk
446;80;dsk
350;69;dsk
587;66;dsk
311;69;dsk
1168;72;dsk
592;72;dsk
184;74;dsk
811;75;dsk
378;77;dsk
118;79;dsk
219;76;dsk
492;73;dsk
223;79;dsk
67;82;dsk
314;88;dsk
150;89;dsk
713;87;dsk
626;81;dsk
278;81;dsk
807;79;dsk
667;85;dsk
433;79;dsk
1036;83;dsk
355;83;dsk
392;80;dsk
287;79;dsk
17;81;dsk
253;78;dsk
337;69;dsk
1124;77;dsk
954;77;dsk
227;82;dsk
62;82;dsk
66;78;dsk
28;78;dsk
1090;81;dsk
1081;84;dsk
369;79;dsk
386;77;dsk
763;72;dsk
1097;69;dsk
483;74;dsk
936;76;dsk
170;79;dsk
497;77;dsk
830;73;dsk
1005;74;dsk
445;79;dsk
145;79;dsk
621;76;dsk
116;76;dsk
630;82;dsk
206;80;dsk
384;75;dsk
759;66;dsk
965;78;dsk
166;77;dsk
330;75;dsk
573;75;dsk
366;71;dsk
288;73;dsk
120;80;dsk
909;79;dsk
1057;78;dsk
876;77;dsk
623;78;dsk
526;81;dsk
94;82;dsk
788;73;dsk
196;66;dsk
658;67;dsk
1076;69;dsk
543;65;dsk
1077;61;dsk
57;66;dsk
689;78;dsk
7;79;dsk
815;71;dsk
990;69;dsk
901;69;dsk
914;66;dsk
944;66;dsk
1067;64;dsk
677;62;dsk
840;68;dsk
751;66;dsk
1042;65;dsk
709;67;dsk
863;67;dsk
622;73;dsk
1070;68;dsk
1008;68;dsk
1009;61;dsk
641;52;dsk
499;48;dsk
847;49;dsk
678;58;dsk
782;59;dsk
1011;61;dsk
1102;71;dsk
224;76;dsk
683;71;dsk
382;65;dsk
444;60;dsk
230;66;dsk
761;73;dsk
195;77;dsk
138;77;dsk
347;78;dsk
1029;73;dsk
402;79;dsk
252;76;dsk
1178;74;dsk
993;66;dsk
352;68;dsk
704;78;dsk
1157;79;dsk
610;78;dsk
506;72;dsk
192;66;dsk
951;61;dsk
128;66;dsk
959;78;dsk
738;75;dsk
714;69;dsk
743;65;dsk
907;63;dsk
