id;temp;type
30;16.795;dsk
1048;17.135;dsk
697;18.385;dsk
305;19.31;dsk
439;23.08;dsk
521;20.67;dsk
625;21.63;dsk
750;22.285;dsk
1151;19.87;dsk
414;17.42;dsk
561;18.735;dsk
418;21.2;dsk
991;23.225;dsk
534;21.78;dsk
71;21.915;dsk
705;22.055;dsk
346;23.63;dsk
999;24.095;dsk
156;24.77;dsk
814;24.465;dsk
1147;19.71;dsk
152;16.485;dsk
874;16.595;dsk
615;15.675;dsk
147;17.865;dsk
1169;19.715;dsk
377;20.045;dsk
76;17.575;dsk
502;17.34;dsk
669;17.195;dsk
348;15.09;dsk
248;16.12;dsk
546;15.925;dsk
576;16.35;dsk
880;17.435;dsk
539;14.37;dsk
538;12.865;dsk
271;12.955;dsk
460;12.94;dsk
533;13.415;dsk
303;12.685;dsk
1069;13.81;dsk
220;15.765;dsk
728;15.42;dsk
430;17.01;dsk
293;18.34;dsk
1;16.55;dsk
858;15.79;dsk
648;17.77;dsk
351;18.43;dsk
1110;18.65;dsk
822;15.245;dsk
349;16.46;dsk
897;17.12;dsk
238;14.705;dsk
515;14.71;dsk
600;15.465;dsk
794;11.86;dsk
870;13.785;dsk
441;14.2;dsk
684;14.59;dsk
1032;14.68;dsk
928;16.955;dsk
1038;16.13;dsk
203;16.9;dsk
290;17.36;dsk
886;18.88;dsk
438;17.505;dsk
542;17.02;dsk
105;16.99;dsk
720;16.2;dsk
694;15.665;dsk
458;14.37;dsk
333;12.455;dsk
1180;13.69;dsk
795;15.315;dsk
617;15.765;dsk
966;16.395;dsk
725;12.35;dsk
1099;11.88;dsk
